Braess_1_4200_10_c1_k3_randomInit
15.5635230021
15.5533171167
15.5529793685
20.0
15.302134955
17.7273773449
16.8922619563
17.6605251494
15.3777288532
15.3108766577
15.4002116402
15.6131216072
15.5936989452
15.3937505497
15.4110077475
15.4199097609
15.4527093898
15.3858571944
15.4598190751
15.4001091699
15.4001091699
15.3332569745
15.4001091699
15.3332569745
15.3321322751
15.4001091699
15.4001091699
15.2634763107
15.2486190648
15.2486190648
15.2556749467
15.2556749467
15.304894386
15.3464970453
15.2984496496
15.34742103
15.3809458703
15.2983903147
15.4460101354
15.5273927369
15.4397931011
15.5598570741
15.536921408
15.4380425514
15.5843529341
15.4147568199
15.5971989109
15.3094546485
15.3780750704
15.4023883563
15.3455736102
15.4285666014
15.3618659898
15.3613409606
15.394301845
15.3724775648
15.4310740912
15.2899789219
15.2899789219
15.3512181681
15.3573444822
15.3434599395
15.4533630351
15.3142977565
15.3142977565
15.3404301519
15.3829969766
15.3564814299
15.4083972549
15.3413923074
15.4060345805
15.4444702982
15.4268535869
15.3666418951
15.4509640796
15.3520956676
15.3419311826
15.3830986223
15.368063578
15.366227204
15.4844511613
15.335365234
15.3857280629
15.4092310177
15.4278029444
15.4033108294
15.3756236687
15.4944791624
15.4266137051
15.4292431457
15.3680536315
15.4115786608
15.5206302309
15.4110450938
15.3752089775
15.4509640796
15.3857280629
15.3830986223
15.3419311826
15.3419311826
