OW_k8_randomInit_20h20m4s.txt;OW_k8_randomInit_20h19m38s.txt;OW_k8_randomInit_20h19m54s.txt;OW_k8_randomInit_20h20m43s.txt;OW_k8_randomInit_20h20m40s.txt;OW_k8_randomInit_20h20m2s.txt;OW_k8_randomInit_20h19m51s.txt;OW_k8_randomInit_20h20m35s.txt;OW_k8_randomInit_20h19m36s.txt;OW_k8_randomInit_20h19m59s.txt;OW_k8_randomInit_20h20m38s.txt;OW_k8_randomInit_20h20m17s.txt;OW_k8_randomInit_20h20m25s.txt;OW_k8_randomInit_20h19m46s.txt;OW_k8_randomInit_20h20m12s.txt;OW_k8_randomInit_20h19m49s.txt;OW_k8_randomInit_20h20m9s.txt;OW_k8_randomInit_20h20m27s.txt;OW_k8_randomInit_20h19m44s.txt;OW_k8_randomInit_20h20m45s.txt;OW_k8_randomInit_20h20m20s.txt;OW_k8_randomInit_20h19m41s.txt;OW_k8_randomInit_20h20m22s.txt;OW_k8_randomInit_20h20m32s.txt;OW_k8_randomInit_20h20m7s.txt;OW_k8_randomInit_20h19m57s.txt;OW_k8_randomInit_20h20m50s.txt;OW_k8_randomInit_20h20m30s.txt;OW_k8_randomInit_20h20m14s.txt;OW_k8_randomInit_20h20m48s.txt
69.1935764706;68.9145882353;69.5210588235;69.3721647059;68.4076;70.3581882353;68.9240235294;68.5215529412;68.3308941176;69.7258588235;69.5342941176;68.7844588235;69.3229294118;68.7222352941;68.4322588235;69.2399294118;69.3294235294;68.742;68.5314705882;70.0489411765;68.8018588235;68.9109176471;69.5366352941;68.5882823529;68.6477882353;69.1869058824;69.6345058824;68.4935294118;68.4504235294;68.3422235294
69.0983882353;68.9560941176;69.0933294118;69.3567411765;68.4076;69.8150941176;68.9355882353;68.5691058824;68.3545764706;69.0548941176;69.7403882353;68.7046941176;68.3126117647;68.7222352941;68.3692588235;69.3187647059;69.2282;68.742;68.4506117647;70.1415529412;68.9709529412;68.9206235294;69.4397529412;68.5693647059;68.6477882353;69.0419647059;69.2887058824;68.4935294118;68.4668;68.3078117647
69.1796;68.9052705882;69.1394941176;69.3223294118;68.4076;69.8032352941;68.9876;68.5512941176;68.4969176471;69.1097764706;69.3816;68.7752823529;68.3146941176;68.7222352941;68.3840823529;69.2187529412;69.3232117647;68.742;68.4968823529;70.0726235294;68.8648588235;69.0075882353;69.4954117647;68.5995058824;68.6477882353;69.0130588235;69.3497529412;68.4935294118;68.4504235294;68.3572235294
69.1651647059;68.9145882353;69.2133882353;69.3313294118;68.4077882353;69.8385647059;68.9395529412;68.4949882353;68.3308941176;69.0746588235;69.4812705882;68.6691529412;68.3155294118;68.7222352941;68.3588470588;69.3232235294;69.2644470588;68.742;68.4506117647;70.2416117647;68.8201529412;68.9109176471;69.4283882353;68.6144705882;68.6477882353;69.0130588235;69.3386823529;68.4935294118;68.4504235294;68.3739882353
69.1736352941;68.9560941176;69.0745411765;69.2990352941;68.4076;69.0482588235;69.0792823529;68.4733764706;68.3308941176;69.1951294118;69.4282;68.7518823529;68.3277647059;68.7222352941;68.3551764706;69.2197411765;69.3275882353;68.742;68.4506117647;70.0489411765;68.8865647059;68.9109176471;69.3082941176;68.5642470588;68.6477882353;69.0130588235;69.3640941176;68.4935294118;68.4906235294;68.3154352941
69.1680235294;68.8934117647;69.2172823529;69.4273294118;68.4209647059;69.0482588235;68.9201764706;68.4733764706;68.3308941176;69.0892588235;69.4216588235;68.6910705882;68.3436705882;68.7222352941;68.3551764706;69.2359176471;69.2954;68.742;68.4506117647;68.7772352941;68.8716;68.9109176471;69.2947058824;68.6904941176;68.6477882353;69.0130588235;69.3404823529;68.4935294118;68.4820470588;68.4170823529
69.1187882353;68.9097882353;69.0533647059;69.2921176471;68.4076;69.0482588235;68.8289294118;68.4777882353;68.3308941176;69.1878352941;69.4037294118;68.6637764706;68.3328117647;68.7222352941;68.4178588235;69.2393647059;69.2546;68.742;68.4506117647;68.7428235294;68.8496705882;68.9109176471;69.3312705882;68.5731411765;68.6477882353;69.0130588235;69.2285764706;68.4935294118;68.5271882353;68.3572235294
69.1108470588;68.8934117647;69.1206705882;69.1559176471;68.4076;69.0482588235;68.6698235294;68.4696;68.3308941176;69.0666705882;69.4421294118;68.7578;68.3512;68.7222352941;68.3715529412;69.2053294118;69.2473647059;68.742;68.4506117647;68.7428235294;68.8536235294;68.9109176471;69.3017294118;68.6121058824;68.6477882353;69.0702352941;69.2192235294;68.4935294118;68.4672588235;68.3604352941
69.0927764706;68.8934117647;69.0414235294;69.1557058824;68.4448117647;69.118;68.6892;68.4696;68.3308941176;69.0525882353;69.4123764706;68.7179882353;68.3528117647;68.7222352941;68.3607882353;69.3041176471;69.2201529412;68.742;68.4590235294;68.7428235294;68.8191764706;68.9109176471;69.2948117647;68.6009882353;68.6477882353;69.0249176471;69.2900941176;68.4998352941;68.4843058824;68.3367176471
69.1139529412;68.8934117647;69.0770941176;69.0744235294;68.4076;69.0482588235;68.6680235294;68.4810823529;68.3308941176;69.0525882353;69.3907294118;68.4821294118;68.3144117647;68.7222352941;68.3692588235;69.1950705882;69.2145411765;68.742;68.4626588235;68.7428235294;68.8900941176;68.9109176471;69.3360352941;68.6084;68.6477882353;69.0479647059;69.2243411765;68.4935294118;68.6112588235;68.3289882353
