Braess_1_4200_10_c1_k3_randomInit
15.5584369236
15.5507244331
15.5612268896
20.0
15.3531815193
18.1667481482
16.8403269841
18.0192404006
15.6387519463
15.4903815571
15.6689541383
16.1076282313
16.6472930461
16.2786272865
15.8776916478
15.8721241308
15.7958683484
15.6107986961
15.6218991686
15.8440282124
15.5202282502
15.6773955593
15.4447688209
15.6019629063
15.3709880385
15.3709880385
15.4325872638
15.4639632464
15.6030146825
15.5380146825
15.7951277022
15.9286686508
16.0562573129
16.2043170635
16.2478137377
16.2875164966
16.4610931406
16.1827723167
16.4850591459
16.5260714475
16.2811523998
16.5367258314
16.2368639078
16.0987299131
16.2550759826
16.4210398715
16.062029743
16.0460769463
16.0620621693
16.2119805933
16.1223480159
16.0669980159
16.0815095616
16.1727695956
16.1188605631
15.8794027778
16.0099696523
16.0851224301
16.0799811602
16.2184459184
16.1708989418
16.0924648526
15.93000565
16.2170143235
16.3311650983
16.4759077664
16.373755839
16.4115190476
16.0776887377
16.198348545
16.1354876606
16.2013102608
16.1259874527
16.0463773998
16.4187179894
16.1658946523
16.4111102797
16.0833907407
16.1917140778
16.0923907407
16.1824493386
16.100551285
16.2566724301
16.3661778345
16.4587177438
16.4091481859
16.3107920824
16.3356253401
16.6055827853
16.2578948035
16.3747435752
16.2085302154
16.4161533069
16.3684289871
16.4922511338
16.4394431595
16.3453547052
16.5578266062
16.4517364701
16.471533031
