OW_k4_discount0.95_sequentialInit_1h7m53s.txt;OW_k4_discount0.8_randomInit_1h8m20s.txt;OW_k8_discount0.95_randomInit_1h8m2s.txt;OW_k4_discount0.99_randomInit_1h7m9s.txt;OW_k8_discount1.0_randomInit_1h6m51s.txt;OW_k4_discount1.0_sequentialInit_1h6m43s.txt;OW_k8_discount0.99_randomInit_1h7m26s.txt;OW_k8_discount0.95_sequentialInit_1h8m11s.txt;OW_k4_discount0.8_sequentialInit_1h8m29s.txt;OW_k8_discount0.99_sequentialInit_1h7m36s.txt;OW_k4_discount1.0_randomInit_1h6m35s.txt;OW_k4_discount0.95_randomInit_1h7m45s.txt;OW_k8_discount0.8_randomInit_1h8m38s.txt;OW_k4_discount0.99_sequentialInit_1h7m18s.txt;OW_k8_discount0.8_sequentialInit_1h8m47s.txt;OW_k8_discount1.0_sequentialInit_1h7m0s.txt
78.5882352941;73.2670941176;68.0921058824;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.8040470588;70.8097058824;77.3969529412;78.5882352941;96.7058823529;80.4705882353
78.5882352941;72.1922823529;68.7141294118;73.2480941176;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.2190117647;76.5667882353;78.5882352941;86.4117647059;80.4705882353
78.5882352941;73.6004352941;68.4995882353;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;79.8235294118;80.4705882353;72.8271058824;70.2190117647;81.9099176471;78.5882352941;82.4117647059;80.4705882353
78.5882352941;71.8325294118;68.2627647059;72.9552941176;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.2190117647;77.3560470588;78.5882352941;99.7647058824;80.4705882353
78.5882352941;70.0475176471;68.3565647059;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;90.4117647059;80.4705882353;72.7647058824;70.2554352941;75.9233294118;78.5882352941;98.5882352941;80.4705882353
78.5882352941;70.2354;67.9353294118;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;83.7058823529;80.4705882353;72.7647058824;71.0020352941;72.2969764706;78.5882352941;94.6470588235;80.4705882353
78.5882352941;70.3129176471;68.4412352941;72.7647058824;68.496;78.5882352941;67.9525411765;79.7647058824;80.5294117647;80.4705882353;72.7647058824;70.2190117647;75.8931058824;78.5882352941;90.2352941176;80.4705882353
82.1176470588;73.2781764706;67.9776941176;72.7647058824;68.4035294118;78.5882352941;67.9525411765;77.8823529412;89.5294117647;80.4705882353;72.7647058824;71.9464470588;73.5802117647;78.5882352941;97.3529411765;80.4705882353
78.5882352941;73.0532705882;67.9780823529;72.7647058824;68.4035294118;78.5882352941;67.9525411765;86.8235294118;78.5882352941;80.4705882353;72.7647058824;70.8662588235;75.5464588235;78.5882352941;95.0;80.4705882353
88.2352941176;71.7366941176;68.3207294118;72.7647058824;68.4035294118;78.5882352941;67.9525411765;83.0588235294;80.5294117647;80.4705882353;72.7791058824;70.2190117647;72.8947764706;78.5882352941;93.1764705882;80.4705882353
