OW_k8_epochsize10_gamma0.2_1h18m19s.txt;OW_k8_epochsize10_gamma0.01_1h17m4s.txt;OW_k4_epochsize20_gamma0.3_1h19m7s.txt;OW_k4_epochsize10_gamma0.01_1h16m28s.txt;OW_k4_epochsize20_gamma0.2_1h17m52s.txt;OW_k8_epochsize50_gamma0.1_1h16m19s.txt;OW_k8_epochsize30_gamma0.3_1h19m56s.txt;OW_k4_epochsize10_gamma0.2_1h17m43s.txt;OW_k8_epochsize30_gamma0.2_1h18m38s.txt;OW_k8_epochsize20_gamma0.1_1h15m59s.txt;OW_k4_epochsize20_gamma0.1_1h15m23s.txt;OW_k8_epochsize50_gamma0.01_1h17m33s.txt;OW_k8_epochsize30_gamma0.1_1h16m9s.txt;OW_k4_epochsize10_gamma0.1_1h15m14s.txt;OW_k4_epochsize30_gamma0.01_1h16m46s.txt;OW_k8_epochsize10_gamma0.1_1h15m49s.txt;OW_k4_epochsize50_gamma0.2_1h18m10s.txt;OW_k8_epochsize50_gamma0.3_1h20m6s.txt;OW_k4_epochsize30_gamma0.1_1h15m32s.txt;OW_k8_epochsize20_gamma0.01_1h17m14s.txt;OW_k8_epochsize20_gamma0.2_1h18m29s.txt;OW_k8_epochsize50_gamma0.2_1h18m48s.txt;OW_k4_epochsize30_gamma0.3_1h19m17s.txt;OW_k8_epochsize10_gamma0.3_1h19m36s.txt;OW_k4_epochsize20_gamma0.01_1h16m37s.txt;OW_k8_epochsize20_gamma0.3_1h19m46s.txt;OW_k4_epochsize50_gamma0.01_1h16m55s.txt;OW_k4_epochsize50_gamma0.1_1h15m40s.txt;OW_k4_epochsize10_gamma0.3_1h18m58s.txt;OW_k4_epochsize30_gamma0.2_1h18m1s.txt;OW_k4_epochsize50_gamma0.3_1h19m26s.txt;OW_k8_epochsize30_gamma0.01_1h17m24s.txt
83.3093176471;83.2657176471;82.0126705882;84.2527294118;82.5617764706;79.2045529412;80.2488705882;84.8830705882;79.6599882353;79.3830588235;81.8841176471;80.5762823529;78.9298470588;83.6838941176;81.3143764706;82.9006;82.7203294118;79.4108823529;82.1432705882;82.0443058824;79.5827647059;79.8754823529;82.5337058824;82.8839411765;82.0544117647;79.6311882353;81.5545647059;82.5178705882;85.0041294118;82.7609764706;82.1532;81.7111176471
82.6588705882;82.6413294118;82.6156941176;84.5254235294;82.4518470588;79.0192941176;80.6457058824;84.9753764706;79.4011764706;78.2002;81.6091294118;81.6496470588;79.5684588235;85.0349058824;81.8036823529;81.9307176471;82.5761764706;80.2199764706;82.2817294118;82.0930588235;79.2694941176;78.8639882353;82.5398117647;83.8896235294;81.9637882353;80.1932117647;80.9043647059;81.7692;85.0782588235;81.9421882353;81.6812235294;80.9993764706
82.2079882353;82.8319882353;82.3022470588;83.9902588235;82.4486705882;79.0698235294;78.9869647059;84.2279294118;79.0686117647;78.8332;82.3051764706;80.9398352941;79.5615882353;85.5687764706;80.8464588235;83.1273647059;82.9893294118;80.4411529412;81.6553529412;80.0107882353;79.3074823529;79.4938705882;81.6349882353;82.6545529412;81.6410941176;79.4786235294;81.2294588235;81.1425058824;84.2862;82.0522117647;81.8469058824;81.1160352941
82.8790941176;82.2793294118;83.1739294118;83.1393058824;81.7305529412;79.1943529412;79.2247058824;82.4224588235;78.7116117647;78.7252705882;81.8244470588;81.5736352941;79.3195882353;81.9118588235;80.7808117647;82.2598588235;82.6790823529;78.9336470588;81.4255882353;80.7187764706;78.9353647059;79.7154823529;81.8137058824;83.1532941176;81.7803411765;80.1288823529;81.3390117647;81.8106588235;83.3529647059;82.1321647059;82.5500941176;81.3943647059
82.3053411765;82.2191294118;82.0129058824;83.1497764706;81.2213058824;78.5609529412;78.7966470588;78.3084823529;78.9024705882;78.8511294118;81.0558;81.1179529412;79.0707294118;78.8357882353;81.0660235294;83.1070470588;82.0103058824;79.4224588235;81.1987647059;80.8579411765;78.7309647059;78.9548705882;82.1916588235;82.6830823529;80.7556470588;79.1159882353;80.9650352941;80.6956117647;78.9514588235;81.4816352941;82.1454117647;80.6749529412
83.0491294118;81.7012352941;81.8821764706;82.0767294118;81.3875294118;78.9353176471;78.6147411765;80.9069647059;78.8216588235;78.9582823529;80.6229529412;81.2582588235;79.3427529412;81.3826705882;81.0018352941;83.092;82.7109411765;79.6387176471;80.9668941176;81.0774941176;78.9721882353;78.4028117647;81.4939882353;82.8516705882;80.8310470588;79.2465647059;80.9280705882;81.3820235294;80.7073647059;81.5721176471;82.1384470588;80.1371294118
82.6641176471;80.9174470588;81.7772705882;82.6496235294;82.0960588235;77.8822941176;79.1077764706;79.6206;78.3100588235;79.1619058824;81.0895529412;80.5409058824;79.1046352941;80.7115176471;80.3133176471;82.1198235294;81.5322117647;79.6540470588;79.9417176471;80.4410823529;78.0510823529;78.4160352941;81.2442235294;82.4422941176;80.9637176471;79.0064705882;80.2548235294;80.3662;80.1256352941;81.6085764706;81.5682117647;80.1779882353
81.1786705882;82.3523882353;82.0651058824;80.8222235294;80.9502705882;79.5313176471;77.7645411765;79.3912588235;79.1141176471;78.9263294118;81.4041411765;81.3975764706;78.9622;79.9028588235;79.9533882353;81.1785058824;82.2666235294;78.6091058824;81.2828823529;80.8012117647;78.8532705882;79.2654588235;80.8308;82.6717058824;79.8796941176;79.6644470588;80.3261294118;81.4389411765;80.8020588235;81.1445294118;81.5299882353;80.1000352941
80.0346705882;81.4476470588;81.3824;81.2642470588;81.5870941176;79.3251764706;79.6215882353;82.7398705882;79.7536235294;79.4216705882;80.4484941176;80.8173882353;78.8489176471;82.3292;80.1236941176;79.0787411765;82.9853647059;79.0283176471;81.1151058824;80.2863529412;78.6859058824;78.8263529412;80.7196235294;81.0357294118;80.7151882353;79.0059058824;79.9450823529;81.2137529412;81.9735529412;81.3650470588;80.5329058824;81.0590352941
83.1525647059;82.6665411765;84.4624352941;84.9646117647;84.4628705882;79.1813882353;78.9635411765;85.7348588235;78.7727058824;82.7966;84.4782352941;80.8914470588;79.1734352941;83.9014235294;80.6758705882;83.6862823529;80.8181411765;79.1904352941;80.7054;83.0424352941;83.6042470588;79.3204;81.4467294118;83.3264705882;83.8741882353;83.0081764706;79.7046235294;81.1034470588;84.3229294118;80.7277764706;80.6800941176;80.9733411765
