OW_k8_epochsize10_gamma0.2_1h18m19s.txt;OW_k8_epochsize10_gamma0.01_1h17m4s.txt;OW_k4_epochsize20_gamma0.3_1h19m7s.txt;OW_k4_epochsize10_gamma0.01_1h16m28s.txt;OW_k4_epochsize20_gamma0.2_1h17m52s.txt;OW_k8_epochsize50_gamma0.1_1h16m19s.txt;OW_k8_epochsize30_gamma0.3_1h19m56s.txt;OW_k4_epochsize10_gamma0.2_1h17m43s.txt;OW_k8_epochsize30_gamma0.2_1h18m38s.txt;OW_k8_epochsize20_gamma0.1_1h15m59s.txt;OW_k4_epochsize20_gamma0.1_1h15m23s.txt;OW_k8_epochsize50_gamma0.01_1h17m33s.txt;OW_k8_epochsize30_gamma0.1_1h16m9s.txt;OW_k4_epochsize10_gamma0.1_1h15m14s.txt;OW_k4_epochsize30_gamma0.01_1h16m46s.txt;OW_k8_epochsize10_gamma0.1_1h15m49s.txt;OW_k4_epochsize50_gamma0.2_1h18m10s.txt;OW_k8_epochsize50_gamma0.3_1h20m6s.txt;OW_k4_epochsize30_gamma0.1_1h15m32s.txt;OW_k8_epochsize20_gamma0.01_1h17m14s.txt;OW_k8_epochsize20_gamma0.2_1h18m29s.txt;OW_k8_epochsize50_gamma0.2_1h18m48s.txt;OW_k4_epochsize30_gamma0.3_1h19m17s.txt;OW_k8_epochsize10_gamma0.3_1h19m36s.txt;OW_k4_epochsize20_gamma0.01_1h16m37s.txt;OW_k8_epochsize20_gamma0.3_1h19m46s.txt;OW_k4_epochsize50_gamma0.01_1h16m55s.txt;OW_k4_epochsize50_gamma0.1_1h15m40s.txt;OW_k4_epochsize10_gamma0.3_1h18m58s.txt;OW_k4_epochsize30_gamma0.2_1h18m1s.txt;OW_k4_epochsize50_gamma0.3_1h19m26s.txt;OW_k8_epochsize30_gamma0.01_1h17m24s.txt
84.0968705882;82.8202588235;84.1691529412;83.9991176471;85.1310470588;78.7437764706;79.7596588235;84.5817882353;79.3877764706;83.2078588235;83.6035764706;78.8387882353;78.9483058824;84.0256117647;80.8871411765;81.6916588235;79.5669294118;80.1970588235;82.4099176471;83.3333176471;83.1185411765;79.2803529412;82.9136823529;82.1895176471;84.0322;83.1434823529;78.5142235294;80.3969882353;84.6951294118;82.9801529412;79.8899764706;81.1060705882
81.7937176471;83.8706352941;84.8233647059;84.0655058824;84.2215882353;78.4373411765;79.6917411765;84.4095764706;79.5369058824;82.8353411765;84.5876235294;79.0769294118;79.3861882353;84.2587176471;80.9600117647;83.5572823529;80.0141529412;80.0208470588;80.6771294118;83.2170941176;82.6222588235;79.5516823529;83.1788588235;82.9690588235;84.2205176471;82.9845058824;78.1270117647;79.9709764706;84.3994117647;83.0942117647;79.6297882353;81.3030705882
83.0132823529;83.2500470588;84.4408117647;83.2554588235;85.4379176471;80.0742470588;79.0364117647;84.4255647059;79.3053176471;82.2801294118;85.0969882353;78.9136588235;78.7422823529;84.4419764706;80.8965529412;82.6128470588;79.5412705882;79.1085294118;81.8993176471;81.7897294118;83.5672235294;79.0256;82.3889058824;83.1866941176;83.0677529412;83.0766352941;78.5132705882;79.7266588235;85.1945176471;81.3716235294;79.8305882353;80.7729058824
81.9798588235;82.3176941176;83.9551058824;83.8728117647;84.0301529412;78.8374823529;78.7104588235;82.9067058824;78.6027882353;83.1436;83.0427058824;78.7980235294;77.8661294118;82.5440941176;81.1675176471;82.8262;79.0629647059;79.2698;81.3204117647;81.9336823529;82.7521411765;79.5872352941;82.7004941176;83.7421411765;83.4642588235;82.9600823529;78.0707764706;79.6840235294;83.6557882353;82.0526941176;79.3785764706;81.2185411765
82.3954823529;82.9113294118;78.9557882353;82.5500235294;78.2390588235;78.4267529412;79.1627294118;79.0431529412;79.6027176471;83.1321058824;78.9867294118;78.1668470588;78.9434588235;78.7044235294;80.4161058824;83.1676117647;79.4201764706;80.1608823529;80.1395882353;82.0754352941;82.7738;78.5028352941;81.8349058824;83.2003882353;82.3371411765;82.5908941176;78.1167294118;79.8145176471;78.8108823529;81.4624117647;79.9128235294;81.4863882353
83.1390823529;81.2990470588;80.3835882353;81.9778705882;79.5243176471;78.9353882353;78.8801176471;80.8261529412;78.6140352941;82.9231764706;80.5703882353;78.2184705882;78.9670235294;80.7519176471;80.3472823529;83.1004588235;79.4848235294;79.4332;80.1492235294;82.4097647059;82.9540588235;79.9907529412;81.3109058824;83.0246117647;82.0029058824;82.7321764706;78.7263411765;79.1033058824;80.5461882353;81.4360117647;79.3007764706;81.5317176471
82.7819176471;81.1221176471;80.672;81.1014117647;79.6438;79.1950470588;78.7283647059;79.6142941176;79.4739647059;81.4693647059;80.4977529412;78.7848823529;78.6283294118;80.2194705882;79.8606117647;82.0630352941;79.2259529412;78.8438941176;81.5709764706;81.2737058824;83.3322705882;80.0758823529;82.0872588235;81.9235058824;82.7579176471;82.7234823529;77.9263058824;79.3950235294;80.2821647059;82.4049176471;79.2367411765;80.5642823529
82.6791882353;81.5779411765;81.3464235294;81.7716588235;80.2279647059;78.6087411765;79.5452941176;79.7079411765;79.8594;79.7742470588;79.7171411765;77.8172941176;79.6134941176;79.5072588235;80.8563058824;80.2188;79.0943294118;79.6898941176;81.3686352941;82.1898;82.5100941176;79.1767647059;81.5427176471;81.8765058824;82.3067176471;82.3986235294;77.8515529412;80.0476117647;81.3518235294;81.5879647059;80.0201647059;80.3649058824
80.7497529412;81.3657882353;80.9998823529;82.2704470588;82.1397058824;78.7211294118;79.2673882353;82.6040352941;79.0025882353;80.2400823529;82.2457647059;77.7860470588;79.2897058824;81.7268352941;80.0124588235;79.7085529412;79.0590941176;78.7336823529;80.3978823529;81.4572705882;78.9999411765;78.6964235294;81.1359294118;80.3278352941;81.7463529412;80.5954588235;78.2429529412;79.2928588235;82.4403411765;81.2664352941;78.7725176471;79.7331411765
83.3178352941;83.2354;82.6770941176;85.3716588235;83.0097764706;83.1163411765;79.6498470588;84.5047647059;79.7490588235;79.3643058824;81.0188235294;82.4780470588;79.2682823529;84.0763176471;80.0043764706;82.7420352941;84.6391764706;83.1568941176;81.2939176471;81.9408823529;79.2520117647;82.9447647059;81.1163176471;82.2070823529;81.3778705882;80.3768;84.1273058824;83.9431176471;83.8379411765;81.9393411765;85.3797411765;79.5832823529
82.3536235294;82.6943294118;83.2398941176;85.0022588235;83.0708117647;83.0871529412;79.6877764706;84.5982352941;79.8595058824;79.5206705882;82.4198588235;82.8625647059;79.5419411765;84.0144;80.3487764706;83.0950117647;84.2160470588;82.0697294118;81.4072470588;80.8593176471;79.5637882353;83.2850705882;81.0228352941;83.1547764706;81.5624823529;80.1364705882;84.5558352941;84.5844823529;85.7830588235;79.9034588235;84.3455647059;79.5139764706
82.5613058824;82.7465882353;82.7299058824;82.1339411765;81.6188352941;82.8333647059;78.9355647059;84.3256470588;80.2912117647;79.7260941176;81.3690705882;82.6938705882;80.2806235294;84.8158705882;80.2218;83.5924941176;84.1979882353;83.2634941176;80.7613882353;81.5155294118;78.9773647059;83.6054705882;80.2516588235;82.5701294118;81.4590823529;79.9355176471;83.9564352941;84.9600235294;84.5395882353;81.3036235294;83.9499058824;79.8690588235
83.7675411765;82.4920941176;82.0229176471;83.9765882353;82.4413058824;82.6223411765;80.5814588235;83.9089176471;80.5258117647;78.3106352941;81.2263764706;83.2703882353;80.5604588235;84.5112117647;79.4022941176;81.8150470588;84.5835764706;82.7268352941;80.1786470588;80.1267294118;78.7158941176;82.7854;80.9518470588;83.0568470588;80.8720235294;79.2971529412;84.4376235294;84.5442;83.7362235294;81.7556588235;84.1652352941;80.5698941176
83.2392470588;82.1274470588;82.3658117647;83.3301411765;81.3424705882;82.7272823529;79.7803882353;83.3621294118;80.0130823529;79.6001411765;81.8808;82.0154705882;80.7352470588;82.6626352941;79.0655176471;82.7811411765;83.6053294118;82.2512941176;79.9326588235;80.7073764706;79.1936;83.8439764706;80.4802117647;83.809;80.9885529412;79.0330705882;83.2651647059;81.8151176471;83.2128;80.7126;83.9797176471;79.8795529412
82.8355176471;82.1861176471;82.9397882353;82.5156117647;82.5338705882;82.4702;80.5300705882;78.5656470588;81.6364235294;78.6750941176;81.2448352941;81.4033058824;80.3542470588;79.5417529412;80.0578941176;82.6386941176;78.3670117647;83.5534117647;80.4434823529;80.3370588235;78.2145529412;82.2508588235;79.8142705882;83.8874;80.5320823529;79.0884117647;82.0560705882;78.3350235294;79.1062705882;80.8133058824;79.9436470588;79.9606941176
82.9672117647;81.5389411765;81.9014;81.7088235294;82.4409764706;83.0072470588;79.9367764706;80.7899882353;81.2519529412;78.2381882353;81.3116117647;82.285;80.2205882353;80.5023882353;79.4689176471;82.6115764706;80.8926235294;83.1895764706;80.3726;80.4112705882;79.0249647059;82.5588352941;81.0461647059;82.5482235294;80.3872117647;78.6491764706;82.9735529412;80.2497647059;81.1700470588;80.2017764706;79.8905411765;80.2241647059
81.5659529412;82.0912941176;81.6436705882;82.3854470588;81.5122;82.8004823529;81.4205882353;80.3521294118;80.6545411765;77.6871058824;82.1501882353;82.2365764706;79.7598235294;80.2094117647;78.1131411765;82.5099647059;78.9415529412;82.1383058824;80.2362352941;80.3969882353;78.7448117647;82.5780588235;79.9477294118;82.6076470588;80.4118117647;79.4960823529;82.2270941176;80.5123882353;79.5295882353;80.1175411765;80.7796470588;79.2340117647
81.4069882353;81.9338235294;82.6443764706;82.0858588235;82.2098588235;80.9166;81.3819529412;80.0952823529;80.4567882353;79.3060117647;80.3207764706;81.4653882353;80.0837294118;80.7743529412;79.2843176471;81.2943882353;79.3091411765;82.6689529412;80.0107764706;80.7885529412;78.7177058824;81.4424588235;81.0572588235;83.1184470588;80.4899058824;79.1390941176;81.6723411765;81.7424235294;80.2273411765;80.1174941176;80.5675764706;79.2301058824
79.4334235294;81.6598352941;80.8751764706;81.0876352941;81.4268470588;79.4847058824;80.2717176471;82.4969294118;81.0605176471;79.2552470588;81.0329647059;82.1647647059;80.2502117647;81.5792352941;79.0478941176;79.7611411765;81.7010705882;81.5113882353;80.4329176471;80.9273411765;78.2585058824;79.9189176471;80.2850705882;80.5737176471;80.2667411765;78.4258117647;81.2467764706;82.3688235294;83.3467764706;80.7980470588;82.5291764706;79.4791882353
81.9484941176;82.3470941176;85.2550588235;84.1707294118;84.1486;79.3602;82.8094705882;85.1507294118;81.9480235294;83.1920941176;84.7823294118;81.1546941176;82.5941882353;84.3771529412;84.9908470588;83.3745411765;83.8497411765;80.1018;85.0571647059;82.7109764706;83.1121176471;79.9362117647;83.6548;82.8462235294;83.6563411765;82.3691882353;82.1052823529;83.3159764706;84.1852470588;85.2014705882;82.3082823529;82.9389411765
82.6409764706;81.8007647059;85.3634823529;82.9028823529;83.3647529412;78.7141647059;83.1223176471;84.8999529412;82.5815058824;83.5477647059;85.2421411765;81.6103529412;83.5595176471;84.4847882353;83.7847647059;82.9524705882;82.5342352941;79.1365764706;84.2026;81.5042705882;82.3028;79.0229529412;84.7323294118;83.0184;84.1088;82.8325647059;81.5487647059;81.7486;84.7561294118;84.8383058824;83.5380352941;82.9633647059
82.7995294118;82.5867882353;84.6226117647;83.7461294118;84.4159058824;78.9233176471;81.4402941176;84.4103411765;83.2471647059;83.0631176471;84.3384235294;79.8946823529;83.2361058824;85.3911882353;84.0838588235;82.3576588235;81.1734;80.2444470588;83.8560352941;83.1574470588;83.0191176471;78.6322705882;85.4537294118;83.1567529412;83.4422;83.5434705882;80.7633176471;81.6749176471;84.5036705882;83.2784588235;82.0544117647;82.4325764706
82.7613764706;83.6007411765;84.3616705882;82.7686941176;85.5662;78.5732;82.6010823529;84.5378941176;81.9564;82.6143176471;83.3723647059;81.4740352941;82.8265411765;83.7950470588;82.6786470588;82.2354470588;82.5182470588;79.1901058824;84.9163764706;82.5121764706;83.2008235294;79.3434117647;84.7973882353;83.6181529412;84.8613411765;82.9453882353;80.6602235294;81.7388705882;84.2746588235;85.0554235294;81.9397882353;82.9087647059
82.5891647059;82.3424;83.2710823529;83.7384352941;84.5152235294;78.9412;82.6629647059;82.8440235294;83.6276235294;81.8753294118;81.4122470588;81.0961647059;83.3898235294;82.0180235294;82.5497058824;82.9197058824;82.4244941176;78.8703764706;81.7849764706;81.9045294118;82.8264235294;78.6493411765;84.5195647059;83.1226705882;83.2345176471;83.2984941176;80.2585294118;81.9031647059;84.3173411765;83.2020470588;82.6696;82.4244470588
83.2887647059;82.1559764706;78.5836705882;83.3719529412;78.3484;78.3644352941;84.0341294118;78.3224705882;83.8572235294;82.1846823529;78.8421058824;81.3203294118;82.9674235294;78.8156235294;83.3242941176;83.4313058824;81.2194352941;79.3530823529;78.3403411765;80.9673647059;82.5898117647;79.2728470588;80.2261176471;81.4765647059;83.1835058824;82.9632588235;80.9744823529;81.6916941176;79.4238;77.7308235294;82.0155764706;82.0160941176
83.8973882353;82.6497411765;80.1768117647;83.6209411765;81.1565529412;78.3866588235;84.0198117647;80.353;83.1923529412;83.1545058824;80.4732235294;80.2995529412;82.3118;81.0506117647;82.4409529412;83.0520823529;81.5598588235;78.6893294118;80.8215764706;81.6576470588;82.9457294118;78.2652352941;78.8837058824;82.7304352941;83.0376823529;83.2146235294;81.0921647059;81.0964705882;81.0629647059;80.2310117647;82.0095529412;82.2353176471
83.1600588235;82.3966941176;80.1025882353;82.5724941176;79.4866588235;78.8880588235;81.9152941176;79.6070588235;82.4998117647;82.2931176471;79.2608588235;80.3643529412;81.9188941176;79.4088352941;82.6310941176;82.7845882353;81.1843058824;78.4765294118;80.1762705882;81.7736352941;83.1755294118;78.6826117647;80.9914235294;82.0881411765;81.5735764706;82.0287529412;79.5105764706;80.8425176471;80.1602823529;80.3965882353;81.8198;82.7512
82.4298470588;81.7695882353;79.6993176471;82.9083529412;80.7137647059;79.0773764706;82.842;80.1553058824;81.8297411765;80.7091764706;80.2700823529;80.8757058824;80.4956470588;80.8434705882;82.0608705882;81.4201294118;81.8185294118;79.7974;81.0891176471;81.3725058824;82.3309294118;78.3888823529;81.1755882353;82.7243294118;82.1386;82.4387294118;79.9981764706;81.0050352941;81.5007882353;80.6241058824;81.0269764706;81.4303647059
80.5401647059;81.0248117647;81.2662;81.0946941176;82.3254235294;79.3337294118;80.4872470588;81.6227058824;79.2603882353;79.9680470588;82.4133647059;80.1281764706;78.4856235294;82.6746823529;81.4808823529;78.9623411765;81.7284352941;78.6585764706;82.1123411765;81.8964823529;79.9213294118;78.305;82.3057764706;80.9700823529;82.6244705882;81.5707176471;79.6050352941;80.3679764706;82.8619058824;82.2114235294;80.9389529412;81.5219058824
83.3776823529;82.9512941176;83.0426352941;84.0948470588;83.1999529412;80.0307529412;80.5436941176;83.7678;79.4668235294;80.0184941176;82.7092;80.1491647059;79.5461294118;84.3380705882;82.3461058824;82.7320117647;81.6566705882;79.1840705882;81.4081411765;81.2251882353;79.5662588235;78.8774235294;81.2907176471;83.1814941176;82.1424117647;81.0757411765;79.6587529412;81.3494941176;84.4238;83.3166235294;81.1283764706;79.8923882353
83.3368470588;82.3886117647;81.8543176471;85.4736941176;83.0503764706;80.1631294118;80.3426823529;84.8388588235;79.3402235294;79.0226235294;82.9026117647;81.0740117647;79.5054470588;84.4922470588;81.6702588235;82.9588352941;81.3908705882;80.3987176471;82.4118588235;81.6595764706;78.7712823529;79.6361176471;82.8638941176;82.0708823529;80.7726235294;80.1414235294;79.6807058824;81.1677882353;84.7223647059;83.1021529412;81.2554588235;81.5211058824
82.5580470588;83.1790470588;81.1940352941;84.4781764706;81.6781411765;80.3033882353;79.3983058824;84.4439294118;79.1438823529;78.6747764706;80.8740352941;79.9299411765;78.5788941176;83.6251529412;80.2866235294;82.7327764706;81.9897058824;79.9576705882;82.5145411765;81.5176705882;79.0640352941;79.5580117647;82.0821176471;82.6678235294;81.4706;79.5411882353;79.2939294118;80.5034352941;84.7024;82.406;80.9702352941;81.8009529412
82.067;82.3398823529;81.9146352941;83.1016235294;82.2761529412;80.4570588235;79.1664;84.4563764706;78.7172823529;78.9183882353;80.6183882353;79.9156941176;78.881;85.7429294118;80.4374705882;82.5191411765;80.4790941176;80.7830705882;81.7056705882;81.3095176471;79.2863176471;80.1333882353;83.2760352941;83.0972;80.0188235294;79.0975411765;80.0677411765;80.0750941176;84.4521764706;82.5993176471;80.6104941176;80.7467764706
82.9803647059;82.2045647059;82.0772470588;82.6802588235;83.0887529412;81.2764823529;79.8167764706;83.2217294118;78.9716705882;77.8867176471;80.8452235294;79.9337411765;78.5481529412;82.7059294118;81.0893411765;83.3147294118;80.9306941176;79.2984705882;81.6408588235;81.6784;79.4861411765;80.9446705882;83.3878823529;81.8510823529;79.9700823529;79.1715411765;79.6699411765;80.1083176471;84.6724705882;81.6734941176;81.2926117647;80.7448823529
83.6213411765;81.6944823529;82.5319294118;83.1224588235;81.7801882353;79.6843058824;79.6236352941;78.4110705882;79.0249529412;78.4682941176;80.3083176471;80.1117176471;78.3983764706;78.2840588235;80.5783176471;84.3075176471;79.9340470588;80.9939176471;81.9942823529;81.1422235294;79.1322117647;80.9364235294;82.8183529412;83.5305529412;80.9403411765;78.9429764706;78.7753529412;80.9707411765;78.8933529412;81.5149294118;80.5526941176;80.7201764706
82.7738588235;81.8004352941;80.8904470588;81.7457647059;81.8681411765;80.8837176471;79.0298;80.7643411765;79.0042;78.9526352941;80.9237058824;79.4756705882;78.3095529412;80.3723647059;80.6967882353;81.0638117647;80.5514941176;80.1932235294;81.4493294118;80.5966588235;79.1298588235;81.0634470588;81.8743647059;82.8041411765;79.0933411765;78.0253294118;79.5734470588;79.9376235294;80.6623882353;81.4490352941;81.1557058824;81.2476823529
83.0036941176;82.5705411765;81.7022117647;82.6675647059;80.6971882353;80.6847529412;78.2398470588;79.7661058824;78.7246235294;79.2117176471;80.6589882353;79.6363529412;78.4948941176;80.3384705882;81.0108705882;82.8705294118;80.5291647059;80.5375294118;81.5088117647;81.6916588235;78.0760823529;80.6128705882;81.8089529412;83.7606235294;80.5807764706;78.5214117647;78.3104823529;79.9712235294;79.6505529412;81.6858470588;81.0368352941;80.3768823529
81.5738352941;81.6659764706;80.5864823529;81.8388117647;81.2991764706;80.1909647059;79.0594588235;80.3705647059;78.6534117647;78.7122941176;80.2663294118;79.6325176471;78.9962823529;80.0017294118;80.2017176471;81.1349882353;80.5693058824;81.2001764706;81.7254470588;80.3806235294;78.2493411765;80.0871529412;81.4206470588;82.4835764706;79.9808352941;79.9489882353;78.7976352941;80.1390705882;80.3851176471;81.7477176471;80.5031529412;80.1827529412
79.6337058824;81.2603411765;81.5921764706;81.3190235294;81.3134588235;79.8511529412;79.9508588235;82.4083411765;79.3959176471;79.4850235294;79.7157411765;79.4384235294;79.5075058824;82.3832470588;79.5641647059;79.5453764706;79.7902117647;80.4096235294;80.4896705882;80.6862352941;78.8807764706;80.8094352941;81.8134;80.8434705882;81.0167882353;78.9100235294;79.1665176471;79.9217294118;81.7496352941;82.0897529412;80.3661411765;80.6261647059
81.5964;82.2926941176;85.447;84.8207411765;84.7949411765;79.2791176471;79.0823294118;84.7671647059;78.7524;82.1247882353;84.1105529412;79.7292588235;79.4580941176;84.6121411765;80.3802941176;82.6622941176;80.7170352941;80.4077882353;80.4979764706;83.8437176471;82.9130470588;79.9424235294;81.0802235294;83.3019294118;84.4264705882;83.3848470588;79.3634823529;80.2743176471;84.9423411765;81.6139647059;80.5535882353;79.6108588235
83.6423882353;83.6182941176;84.6909058824;82.6335529412;83.9679058824;79.0584235294;80.2676941176;85.0781411765;79.4761058824;82.2674941176;84.9268941176;78.6386588235;79.4101529412;84.2877764706;79.5182352941;82.2002588235;80.9496235294;80.5664823529;80.5909647059;82.9339411765;82.3004823529;80.2184470588;79.7413411765;82.5487529412;83.1194823529;83.0155411765;79.1865529412;79.9507529412;84.9463647059;81.2831176471;80.3418235294;80.2277882353
83.3052823529;82.6897411765;83.8190235294;84.2398470588;84.1711294118;79.4349647059;80.4950823529;85.2093764706;80.9473882353;82.4307647059;85.6819647059;79.5059411765;80.3657529412;84.9141411765;80.5598823529;82.4883176471;80.0763529412;80.3937882353;80.6184235294;83.1535529412;82.5249647059;80.1512117647;80.9756235294;82.6533176471;83.3108235294;82.1162941176;78.6453294118;79.7603529412;84.0702470588;80.9839294118;80.2269647059;81.1484941176
82.3201882353;82.2844941176;84.1430588235;83.6263764706;85.0688705882;79.6785176471;79.6231764706;83.6532;80.0768941176;83.0389294118;83.6200705882;78.8435882353;80.3679294118;85.2563176471;80.1784823529;83.0782941176;79.4886941176;79.6229294118;80.5854352941;82.2495176471;82.6262588235;79.5728117647;80.1028117647;82.8186705882;82.5507294118;83.2082117647;78.4705176471;80.2946705882;83.5013176471;80.3552941176;80.4848235294;80.3432941176
82.6109294118;83.1150941176;85.0305058824;83.2600352941;84.0669411765;80.2062705882;79.8245529412;82.9099764706;80.0700941176;83.0393882353;81.6053882353;78.2731176471;79.2402;82.166;79.9608823529;83.3082352941;80.0378235294;80.1391176471;80.1070823529;82.9756941176;83.1745176471;79.2090823529;80.1816823529;83.3744470588;83.5359529412;82.3132823529;78.4974352941;79.9356823529;83.7703647059;80.7755647059;80.7121176471;79.6477176471
82.7679647059;82.0151764706;79.7488470588;83.5909411765;78.7705764706;78.8364117647;81.9307411765;77.8595294118;80.8497764706;83.1267176471;78.4089647059;79.1018823529;79.9625764706;78.2253764706;79.1788117647;82.6120588235;79.6068235294;79.6372235294;80.3031058824;81.2120352941;83.4490117647;80.3405882353;80.8974352941;82.828;84.3372235294;82.5617529412;78.0294470588;80.2118235294;79.0839529412;80.3103529412;80.5185176471;79.7110352941
83.0629764706;82.3207647059;80.0311529412;82.1725647059;80.4384941176;80.5466352941;80.6599647059;80.7318470588;79.9716235294;82.9703647059;80.6261294118;80.0462352941;80.4072235294;80.3013058824;79.3476823529;84.0219058824;79.9408470588;80.2662823529;81.0386;81.9904941176;83.3862352941;79.8311882353;79.5697411765;82.6634588235;82.8226823529;84.4235882353;78.4978;79.8178117647;81.0120588235;80.7164470588;79.9850588235;79.9698823529
82.7128;82.0701882353;80.0390235294;82.6356;79.1108235294;79.1217058824;79.9508117647;79.6043176471;80.7573294118;82.8611294118;79.9632235294;79.2678235294;79.1950352941;80.2700588235;78.7308705882;81.6523529412;80.4569058824;79.5096823529;80.2122117647;81.4023529412;83.1707294118;79.3711411765;79.7963882353;82.5341647059;81.3384;82.4187647059;77.8782235294;80.7248588235;80.1464;80.3648117647;80.3526823529;79.4244941176
81.8900470588;81.2011294118;80.6531882353;81.3871411765;79.5949882353;79.7205882353;80.0073411765;80.2466470588;81.4927176471;81.0336705882;80.8893411765;78.7043647059;79.0270235294;80.3192352941;79.0638823529;80.3046352941;79.5952235294;80.596;80.2908941176;80.4886117647;82.0942117647;79.4897176471;80.2105411765;82.0565529412;81.8813882353;81.9284352941;78.4841529412;80.3199882353;79.9283764706;80.0570823529;79.9584705882;79.862
80.6880588235;80.9544470588;81.6076235294;82.1733411765;81.9488235294;79.0945529412;81.5280705882;81.8931647059;80.7817411765;81.0209764706;81.3018470588;79.1827294118;80.1376117647;81.9055647059;79.5014823529;78.8258941176;79.204;79.9016941176;79.8402823529;81.6365882353;79.6404235294;79.4775411765;80.2111411765;81.2018470588;82.7889411765;80.7612470588;78.1680588235;79.7120823529;81.9354470588;79.7123529412;80.7894705882;79.3504823529
82.3500117647;82.3035176471;82.4906470588;84.9627176471;82.1958941176;79.6784117647;82.3599764706;84.9492588235;82.9376352941;78.9250117647;82.0328705882;78.3503411765;83.3482588235;84.8649294118;84.9851882353;83.4069529412;79.5243294118;79.9055529412;84.6164117647;81.4316;79.2250352941;78.6808117647;85.0254235294;82.4298941176;81.7928470588;80.2220705882;78.1168705882;79.8362941176;85.5285411765;85.0088352941;80.4303294118;82.7714117647
82.3366823529;82.5049176471;82.4605882353;83.1938117647;83.016;79.4564117647;82.7718235294;84.6497529412;82.5920352941;79.7798;83.2746705882;78.7608117647;82.7304705882;85.1576823529;83.2250588235;82.8903176471;79.7302235294;80.6442823529;84.4072588235;81.3435294118;79.6824117647;79.7322588235;84.8053647059;83.1207058824;81.2485647059;79.7113058824;78.4028823529;79.6454941176;84.2658;84.0327647059;79.7457647059;83.3881882353
83.3084470588;83.6757647059;82.3267058824;83.5885058824;82.0833176471;78.5357294118;82.5630117647;84.3517294118;84.2896352941;79.3759058824;81.5461529412;78.0144117647;84.4535764706;83.3350941176;84.0158823529;83.4208823529;79.5858823529;79.6113882353;84.6192705882;81.0177764706;79.5764;79.0636235294;84.8535764706;83.0040352941;82.3622117647;80.5227882353;77.4193882353;78.9973176471;84.3340823529;84.8255647059;80.6166941176;82.0355529412
83.6444117647;81.8805529412;82.5695882353;83.8086352941;81.6376941176;78.5783764706;83.2678352941;84.1638941176;82.891;79.0178235294;80.5548588235;79.0217411765;82.2166;84.3681411765;83.7101764706;82.4577294118;79.3332352941;79.8583058824;84.0802117647;80.3811529412;78.6158235294;78.0474588235;83.5000705882;83.3719176471;81.6455647059;79.2873176471;78.3848823529;79.6132235294;84.3332235294;84.2636470588;80.0766117647;82.8656235294
82.5271529412;82.2400352941;81.9604941176;83.8959294118;81.6246588235;79.2207647059;83.0428941176;84.0233294118;83.1602705882;78.9373647059;82.0984705882;78.5479647059;81.9948352941;81.5500235294;83.3345058824;82.9564470588;80.2480941176;79.5809764706;81.7146588235;80.2082352941;78.4740235294;78.8868941176;83.9771764706;83.2318117647;80.9294588235;79.1527529412;78.1447764706;79.1292235294;84.0010705882;83.4852588235;80.4928235294;83.1857176471
83.5040941176;83.0183176471;81.7940941176;83.0197411765;81.8623882353;78.4213647059;83.9551764706;77.5139294118;83.4466705882;79.0156588235;80.3087411765;77.8542470588;82.6068823529;79.0317882353;83.3435294118;82.4359529412;79.6467882353;80.4068941176;78.6922;80.0999882353;78.7916117647;79.1560705882;79.6734;82.9880705882;81.1908470588;78.9636;76.9174235294;79.5242705882;79.2697176471;78.1346117647;80.0261764706;81.4158
82.3673647059;83.0077529412;82.762;83.4963647059;80.7726352941;78.8466941176;82.7582352941;80.9351529412;82.2153764706;78.4197058824;81.5564705882;78.1087058824;82.4801882353;79.9752235294;82.7496352941;82.6316352941;79.1945882353;79.3879411765;80.0996705882;79.1860588235;77.5676941176;79.3854117647;80.0423176471;82.8450705882;81.1683529412;79.0448;77.9317411765;79.0308117647;80.1874941176;80.6098705882;79.6667647059;81.9698235294
82.6125294118;81.5128470588;80.9062352941;81.0977882353;80.2114941176;77.9784;83.1906705882;79.6656470588;81.9437647059;78.2865529412;79.9761647059;77.9725882353;81.4071764706;80.6844235294;82.3782117647;80.9052117647;79.1824705882;78.9392;80.1123411765;81.4938705882;78.0144352941;79.6792588235;79.8185764706;82.0809647059;80.4999294118;79.323;77.4560823529;79.2922705882;81.1327411765;79.1038117647;79.1379411765;82.1551764706
82.1671882353;81.9442823529;81.0508941176;81.7517176471;80.9983176471;78.6763294118;81.9472588235;81.1084941176;81.0857529412;79.8091411765;81.2541176471;77.3131294118;80.1160235294;79.9929411765;82.6013411765;80.7014823529;79.4966588235;78.7217058824;81.0026470588;80.3292470588;77.9825764706;78.2175764706;79.9760235294;81.7508117647;79.9338705882;79.1161058824;77.2655647059;79.0552588235;80.5515882353;79.4491529412;80.5833176471;81.4724823529
80.2866117647;81.7186941176;81.3742;81.4074588235;81.3658235294;79.1208823529;79.4990470588;81.2855411765;80.1722470588;79.4820823529;81.8387529412;78.2157882353;79.1867294118;81.9190588235;81.7377529412;79.7158470588;78.8381882353;78.8842470588;81.9857058824;79.7308352941;78.7137647059;78.3927529412;82.4836823529;80.8984470588;80.7691647059;79.3466470588;78.1324823529;80.0891647059;82.2837764706;81.9982235294;79.7240235294;82.0016352941
