OW_k4_sequentialInit_1h6m29s.txt;OW_k8_randomInit_1h6m30s.txt;OW_k8_sequentialInit_1h6m33s.txt;OW_k4_randomInit_1h6m27s.txt
78.5882352941;69.1500235294;83.8235294118;72.8273882353
78.5882352941;69.1500235294;83.8235294118;72.7647058824
78.5882352941;69.1500235294;83.8235294118;72.7647058824
78.5882352941;69.1500235294;83.8235294118;72.7647058824
78.5882352941;69.1500235294;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.8739764706
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7936117647
78.5882352941;69.1223529412;83.8235294118;72.8019764706
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7833411765
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.8345411765
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
