Braess_1_4200_10_c1_k3_a0.8_d0.9_21h16m37s.txt;Braess_1_4200_10_c1_k3_a0.9_d0.9_19h34m53s.txt;Braess_1_4200_10_c1_k3_a0.8_d0.99_21h16m39s.txt;Braess_1_4200_10_c1_k3_a0.9_d0.99_21h16m54s.txt
15.5287443311;15.2598985261;16.460143424;16.477451814
15.5149535147;15.2684155329;16.4541456916;16.4436111111
15.488696712;15.2708049887;16.4930895691;16.4235946712
15.4669229025;15.2771978458;16.5022335601;16.4775561224
15.4540816326;15.2817307256;16.5324790249;16.5525408163
15.429435941;15.2954058957;16.5653526077;16.5787981859
15.4173633787;15.2933061224;16.6072930839;16.6029138322
15.4049160998;15.2944444444;16.6429869614;16.6084773242
15.3951077097;15.2996264172;16.6664229025;16.6737346939
15.3927222222;15.3023140589;16.6408917233;16.6424631519
15.3781643991;15.3086451247;16.6741780045;16.6354478458
15.3746077097;15.3107902494;16.6767828798;16.7310941043
15.367728458;15.3169824263;16.8171848072;16.6463049886
15.3643140589;15.3179138322;16.7518696145;16.8130572562
15.3598877551;15.3177743764;16.8029954648;16.7814835601
15.3655702948;15.3197199546;16.8474744898;16.7957806122
15.3596485261;15.3234671202;16.783446712;16.872685941
15.3585969388;15.3247760771;16.834776644;16.793850907
15.3577760771;15.3246893424;16.8417692744;16.8841780045
15.3529846939;15.3302046485;16.8664773243;16.8461678004
15.3536695011;15.3284971655;16.9397596372;16.9294699546
15.3557375283;15.3319756236;17.0223021542;16.9701814059
15.3534297052;15.3321366213;16.9207012472;16.9583004535
15.3495555555;15.3344132653;16.9819104308;17.0089002267
15.3490368481;15.3349444444;17.0847358277;17.0161729025
15.3513208617;15.337393424;17.0575204082;16.9279501134
15.3501094104;15.3384637188;17.0617511338;17.1533390023
15.3481950113;15.3388463719;17.0710708617;17.0694172335
15.3492346939;15.3402318594;17.1345895691;17.1193480725
15.3480300453;15.3402318594;17.0315810657;17.0879739229
15.3489036281;15.3395385487;17.1971882086;17.1486763038
15.348255102;15.3393854875;17.092435941;17.1690816326
15.3450073696;15.3393157596;17.2910345805;17.255728458
15.3460345805;15.3421609977;17.3265969388;17.1879121315
15.3451632653;15.3420056689;17.2263514739;17.2509988662
15.3450073696;15.3414654195;17.220649093;17.2461026077
15.3438287982;15.3421609977;17.2081094104;17.2381281179
15.3436763038;15.3425470521;17.2979756236;17.3304699546
15.3436763038;15.3432426304;17.3478287982;17.3921388889
