OW_k8_discount0.95_window30_randomInit_1h13m7s.txt;OW_k4_discount0.8_window30_sequentialInit_1h14m1s.txt;OW_k4_discount0.8_window10_sequentialInit_1h13m41s.txt;OW_k4_discount0.95_window30_sequentialInit_1h12m26s.txt;OW_k8_discount0.95_window20_randomInit_1h12m56s.txt;OW_k4_discount0.99_window10_sequentialInit_1h10m32s.txt;OW_k4_discount0.8_window50_sequentialInit_1h14m16s.txt;OW_k4_discount1.0_window20_randomInit_1h9m3s.txt;OW_k4_discount0.99_window20_randomInit_1h10m35s.txt;OW_k8_discount0.99_window20_sequentialInit_1h11m27s.txt;OW_k8_discount0.95_window10_randomInit_1h12m48s.txt;OW_k8_discount0.99_window10_sequentialInit_1h11m18s.txt;OW_k8_discount0.99_window10_randomInit_1h11m14s.txt;OW_k4_discount0.8_window50_randomInit_1h14m8s.txt;OW_k4_discount1.0_window50_sequentialInit_1h9m33s.txt;OW_k8_discount0.8_window50_randomInit_1h14m57s.txt;OW_k8_discount1.0_window10_randomInit_1h9m41s.txt;OW_k4_discount1.0_window20_sequentialInit_1h9m8s.txt;OW_k4_discount0.99_window10_randomInit_1h10m28s.txt;OW_k8_discount0.99_window50_randomInit_1h11m46s.txt;OW_k4_discount0.95_window50_randomInit_1h12m32s.txt;OW_k8_discount1.0_window20_sequentialInit_1h9m54s.txt;OW_k4_discount0.95_window10_randomInit_1h12m3s.txt;OW_k4_discount0.99_window50_sequentialInit_1h11m6s.txt;OW_k4_discount0.95_window30_randomInit_1h12m20s.txt;OW_k8_discount1.0_window10_sequentialInit_1h9m45s.txt;OW_k8_discount1.0_window30_randomInit_1h9m59s.txt;OW_k4_discount0.8_window20_randomInit_1h13m45s.txt;OW_k8_discount0.8_window50_sequentialInit_1h15m6s.txt;OW_k4_discount0.99_window20_sequentialInit_1h10m40s.txt;OW_k8_discount0.95_window50_sequentialInit_1h13m29s.txt;OW_k8_discount1.0_window50_randomInit_1h10m12s.txt;OW_k4_discount1.0_window30_sequentialInit_1h9m19s.txt;OW_k8_discount1.0_window30_sequentialInit_1h10m5s.txt;OW_k8_discount0.99_window30_randomInit_1h11m33s.txt;OW_k8_discount0.8_window30_randomInit_1h14m43s.txt;OW_k4_discount0.99_window30_sequentialInit_1h10m51s.txt;OW_k8_discount1.0_window20_randomInit_1h9m49s.txt;OW_k8_discount0.8_window10_randomInit_1h14m24s.txt;OW_k8_discount1.0_window50_sequentialInit_1h10m20s.txt;OW_k4_discount1.0_window10_sequentialInit_1h9m0s.txt;OW_k8_discount0.8_window10_sequentialInit_1h14m28s.txt;OW_k4_discount0.95_window50_sequentialInit_1h12m40s.txt;OW_k4_discount1.0_window10_randomInit_1h8m56s.txt;OW_k4_discount0.95_window10_sequentialInit_1h12m6s.txt;OW_k4_discount0.95_window20_sequentialInit_1h12m15s.txt;OW_k4_discount0.99_window50_randomInit_1h10m57s.txt;OW_k8_discount0.95_window50_randomInit_1h13m21s.txt;OW_k4_discount0.8_window30_randomInit_1h13m55s.txt;OW_k8_discount0.99_window30_sequentialInit_1h11m39s.txt;OW_k4_discount1.0_window50_randomInit_1h9m25s.txt;OW_k8_discount0.8_window20_randomInit_1h14m32s.txt;OW_k4_discount0.95_window20_randomInit_1h12m10s.txt;OW_k8_discount0.95_window10_sequentialInit_1h12m52s.txt;OW_k4_discount0.99_window30_randomInit_1h10m45s.txt;OW_k8_discount0.8_window20_sequentialInit_1h14m38s.txt;OW_k4_discount0.8_window20_sequentialInit_1h13m50s.txt;OW_k8_discount0.8_window30_sequentialInit_1h14m50s.txt;OW_k8_discount0.99_window20_randomInit_1h11m22s.txt;OW_k8_discount0.95_window20_sequentialInit_1h13m2s.txt;OW_k4_discount1.0_window30_randomInit_1h9m13s.txt;OW_k8_discount0.99_window50_sequentialInit_1h11m54s.txt;OW_k8_discount0.95_window30_sequentialInit_1h13m14s.txt;OW_k4_discount0.8_window10_randomInit_1h13m38s.txt
71.8851529412;78.5882352941;78.5882352941;78.5882352941;71.4862117647;78.5882352941;78.5882352941;73.4867764706;72.7647058824;86.8235294118;71.8340823529;86.8235294118;71.8823529412;72.7647058824;78.5882352941;80.7122117647;72.4702117647;78.5882352941;72.7647058824;71.4375058824;72.7647058824;86.8235294118;73.1776;78.5882352941;73.0623058824;86.8235294118;71.6895529412;73.0479058824;87.2941176471;78.5882352941;86.8235294118;72.4119058824;78.5882352941;86.8235294118;71.9288;78.8454;78.5882352941;72.1956235294;77.6163647059;86.8235294118;78.5882352941;87.2941176471;78.5882352941;72.7647058824;78.5882352941;78.5882352941;72.7647058824;71.3630117647;72.8494117647;86.8235294118;72.7647058824;79.0199058824;72.7717647059;86.8235294118;72.7647058824;87.2941176471;78.5882352941;87.2941176471;71.5611764706;86.8235294118;74.24;86.8235294118;86.8235294118;72.7647058824
73.2386588235;78.5882352941;96.3529411765;78.5882352941;76.8928117647;96.3529411765;78.5882352941;72.7647058824;72.7904;83.8235294118;85.9348117647;96.3529411765;85.3277882353;75.2965647059;78.5882352941;76.8860823529;85.4806;78.5882352941;84.3420588235;71.2893411765;72.7647058824;83.8235294118;83.6606470588;78.5882352941;72.7647058824;96.3529411765;72.2222;73.4511764706;87.1176470588;78.5882352941;83.8235294118;70.9409294118;78.5882352941;83.8235294118;76.2281529412;78.6560352941;78.5882352941;70.1793647059;86.7074352941;83.8235294118;96.3529411765;103.411764706;78.5882352941;84.1331529412;96.3529411765;78.5882352941;72.8971294118;75.5569176471;74.2292;83.8235294118;72.7647058824;78.9043529412;73.1094588235;96.3529411765;72.7647058824;87.1176470588;78.5882352941;87.1176470588;71.4155058824;83.8235294118;72.7647058824;83.8235294118;83.8235294118;84.0397294118
72.0662823529;78.5882352941;98.1764705882;78.5882352941;72.5218823529;98.1764705882;78.5882352941;72.7701647059;72.8635294118;83.8235294118;85.6735647059;101.470588235;85.5376;70.3622588235;78.5882352941;73.0469411765;85.1105411765;78.5882352941;84.5066588235;68.9397764706;73.1687529412;83.8235294118;84.6731058824;78.5882352941;73.1013647059;101.470588235;69.3881058824;70.7371647059;80.4705882353;78.5882352941;83.8235294118;68.2158117647;78.5882352941;83.8235294118;72.2127058824;73.0767176471;78.5882352941;68.4959764706;85.4731764706;83.8235294118;98.1764705882;98.1764705882;78.5882352941;84.6303176471;98.1764705882;78.5882352941;73.1343058824;72.8052352941;70.6031411765;83.8235294118;72.7647058824;72.0019529412;72.7647058824;101.470588235;74.5011764706;80.4705882353;78.5882352941;80.4705882353;71.7728941176;83.8235294118;72.7647058824;83.8235294118;83.8235294118;84.3426941176
69.5511294118;78.5882352941;100.176470588;78.5882352941;71.4388;100.176470588;78.5882352941;72.9296;72.7647058824;83.8235294118;85.4709411765;92.4117647059;84.9176823529;71.9315764706;78.5882352941;70.0413058824;85.2331294118;78.5882352941;84.6575529412;68.8314705882;72.7647058824;83.8235294118;84.2552823529;78.5882352941;72.7647058824;92.4117647059;69.3361764706;71.0534;80.4705882353;78.5882352941;83.8235294118;68.2158117647;78.5882352941;83.8235294118;77.5743058824;69.0366823529;78.5882352941;68.4959764706;82.6623647059;83.8235294118;100.176470588;92.4117647059;78.5882352941;84.0528588235;100.176470588;78.5882352941;72.7647058824;70.0176;71.2942352941;83.8235294118;73.2139294118;69.2387764706;72.7647058824;92.4117647059;72.7647058824;80.4705882353;78.5882352941;80.4705882353;72.0558235294;83.8235294118;72.7647058824;83.8235294118;83.8235294118;84.1667882353
69.3501529412;78.5882352941;99.7647058824;78.5882352941;69.8497882353;99.7647058824;78.5882352941;72.7647058824;73.1955764706;83.8235294118;84.6364705882;98.1764705882;84.5029882353;71.1413764706;78.5882352941;69.2918;82.9373058824;78.5882352941;84.0897294118;68.8258588235;72.7647058824;83.8235294118;84.3294588235;78.5882352941;72.7647058824;98.1764705882;69.4285411765;72.2439764706;80.4705882353;78.5882352941;83.8235294118;68.2158117647;78.5882352941;83.8235294118;73.4583176471;68.9311647059;78.5882352941;68.4959764706;81.6997647059;83.8235294118;99.7647058824;98.1764705882;78.5882352941;84.5377176471;99.7647058824;78.5882352941;72.7734588235;69.8989058824;71.0876588235;83.8235294118;72.7647058824;69.1008;72.7647058824;98.1764705882;72.7647058824;80.4705882353;78.5882352941;80.4705882353;72.1738117647;83.8235294118;73.2517647059;83.8235294118;83.8235294118;83.2920705882
69.2415176471;78.5882352941;78.5882352941;78.5882352941;68.9250823529;78.5882352941;78.5882352941;72.7672470588;72.7647058824;83.8235294118;84.0897176471;124.882352941;83.6350705882;70.5247176471;78.5882352941;68.4470352941;84.5911176471;78.5882352941;72.8971294118;68.8258588235;72.7647058824;83.8235294118;72.7659294118;78.5882352941;72.7647058824;124.882352941;69.2763647059;70.4435176471;80.4705882353;78.5882352941;83.8235294118;68.3364823529;78.5882352941;83.8235294118;69.9394941176;68.7261647059;78.5882352941;68.5015882353;81.6969647059;83.8235294118;78.5882352941;124.882352941;78.5882352941;72.7672470588;78.5882352941;78.5882352941;72.7647058824;69.4159882353;71.1643176471;83.8235294118;72.7647058824;69.1607176471;72.9411764706;124.882352941;72.7647058824;80.4705882353;78.5882352941;80.4705882353;69.0961882353;83.8235294118;72.7647058824;83.8235294118;83.8235294118;72.7647058824
69.1952470588;78.5882352941;82.8235294118;78.5882352941;68.8293647059;82.8235294118;78.5882352941;72.7647058824;72.7647058824;83.8235294118;83.6119058824;107.588235294;83.8980588235;70.8165764706;78.5882352941;68.0594705882;84.1910941176;78.5882352941;72.7647058824;68.8258588235;72.7909647059;83.8235294118;72.7647058824;78.5882352941;72.7647058824;107.588235294;69.5777647059;70.9126823529;80.4705882353;78.5882352941;83.8235294118;68.2158117647;78.5882352941;83.8235294118;69.6337058824;68.8582352941;78.5882352941;68.4369529412;83.2920352941;83.8235294118;82.8235294118;107.588235294;78.5882352941;72.7672470588;82.8235294118;78.5882352941;72.7647058824;69.1687647059;70.7974;83.8235294118;72.7647058824;68.8447058824;72.7647058824;107.588235294;72.7647058824;80.4705882353;78.5882352941;80.4705882353;68.1924823529;83.8235294118;72.7647058824;83.8235294118;83.8235294118;72.8239647059
69.1551529412;78.5882352941;78.5882352941;78.5882352941;68.8293647059;78.5882352941;78.5882352941;72.7647058824;72.7647058824;83.8235294118;83.6573764706;104.470588235;84.1893176471;70.9873058824;78.5882352941;67.9287647059;83.4415411765;78.5882352941;72.7647058824;68.8258588235;73.0611764706;83.8235294118;72.7647058824;78.5882352941;72.8141176471;104.470588235;69.3089647059;70.9232823529;80.4705882353;78.5882352941;83.8235294118;68.3208117647;78.5882352941;83.8235294118;69.6337058824;68.0737764706;78.5882352941;68.4663294118;81.0403882353;83.8235294118;78.5882352941;104.470588235;78.5882352941;72.7647058824;78.5882352941;78.5882352941;72.7647058824;69.1687647059;70.3064823529;83.8235294118;72.7647058824;68.7253882353;72.8455647059;104.470588235;72.7647058824;80.4705882353;78.5882352941;80.4705882353;68.1737411765;83.8235294118;72.7647058824;83.8235294118;83.8235294118;77.7477764706
69.1952470588;92.4705882353;78.5882352941;78.5882352941;68.8293647059;78.5882352941;92.4705882353;72.7647058824;72.7647058824;83.8235294118;83.3559411765;97.7647058824;83.9293294118;72.3047529412;78.5882352941;67.8979647059;84.3132705882;78.5882352941;73.6470588235;68.8258588235;72.7647058824;83.8235294118;76.4599529412;78.5882352941;73.3954470588;97.7647058824;69.3523411765;70.3254941176;97.0588235294;78.5882352941;83.8235294118;68.2420705882;78.5882352941;83.8235294118;69.6337058824;68.3765529412;78.5882352941;68.4689764706;80.5678705882;83.8235294118;78.5882352941;105.0;78.5882352941;73.1427764706;78.5882352941;78.5882352941;72.7647058824;69.0654235294;71.7856235294;83.8235294118;72.7647058824;68.4599764706;73.0955882353;97.7647058824;72.7647058824;97.0588235294;92.4705882353;97.0588235294;68.1737411765;83.8235294118;72.7647058824;83.8235294118;83.8235294118;72.9976470588
69.1551529412;77.8823529412;78.5882352941;78.5882352941;68.8293647059;78.5882352941;77.8823529412;72.7647058824;72.7647058824;83.8235294118;77.3306470588;88.9411764706;75.3705411765;70.5845764706;78.5882352941;69.0250470588;74.7090705882;78.5882352941;72.7647058824;68.7367058824;73.2679647059;83.8235294118;72.7647058824;78.5882352941;72.8109764706;88.9411764706;69.3024588235;72.8419058824;77.1764705882;78.5882352941;83.8235294118;68.2779529412;78.5882352941;83.8235294118;69.6337058824;70.0487058824;78.5882352941;68.4758823529;77.3462941176;83.8235294118;78.5882352941;88.9411764706;78.5882352941;72.7647058824;78.5882352941;78.5882352941;72.7647058824;69.0654235294;72.6554235294;83.8235294118;72.7647058824;68.7440117647;72.7647058824;88.9411764706;72.7647058824;77.1764705882;77.8823529412;77.1764705882;68.1737411765;83.8235294118;72.7647058824;83.8235294118;83.8235294118;73.5796823529
