OW_k8_epsilon0.01_p_forget0.002_decay0.9
82.8027047059
82.7027039216
82.6118529412
82.4006309804
82.1998384314
82.0993333333
82.0633435294
81.9964290196
81.7212533333
81.4909239216
81.6215501961
81.3890592157
81.1733827451
81.0147415686
81.0555294118
80.9402627451
80.6403682353
80.5089752941
80.5836576471
80.5506254902
80.2420776471
80.2144243137
80.1529152941
79.9420647059
79.8671062745
79.8646768628
79.7198047059
79.6845854902
79.6262921569
79.5368588235
79.4473596078
79.3477760784
79.1218160784
79.1623937255
79.0528568627
79.0530168627
78.9644564706
78.9173611765
78.7856368627
78.7267843137
78.7284921569
78.6401078431
78.4817086275
78.3980211765
78.3874462745
78.3802878431
78.2328470588
78.4294803922
78.2286619608
78.1761560784
78.2874447059
77.9377466667
78.0284058824
77.9367133333
77.9748227451
77.7705113725
77.7608584314
77.6083407843
77.654314902
77.5685960784
77.6799647059
77.5300980392
77.6938945098
77.5171082353
77.4687752941
77.4544043137
77.3993858823
77.2436003922
77.2536054902
77.3417188235
77.175605098
77.0807478431
77.0850482353
77.0406235294
77.0424517647
76.9196529412
77.0993117647
76.9923133333
76.9454376471
77.0479635294
76.8890764706
76.7390031373
76.7579768627
76.7845772549
76.734892549
76.7417419608
76.5632592157
76.6283972549
76.5578780392
76.6171313725
76.5419109804
76.5940823529
76.4910709804
76.4855811765
76.3660505882
76.4182313725
76.4142588235
76.4822517647
76.4893552941
76.411572549
