OW_k8_a0.9_d0.9;OW_k8_a0.5_d0.95;OW_k8_a0.9_d0.95;OW_k8_a0.5_d0.9;OW_k8_a0.8_d0.9;OW_k8_a0.8_d0.95
67.2669356863;67.2629968627;67.6572654902;67.2625364706;67.6728466667;67.9508039216
67.268534902;67.2524419608;67.6542960784;67.2631423529;67.6742639216;67.8311039216
67.2669117647;67.2547764706;67.6079066667;67.262222353;67.6740152941;67.7847811765
67.2662211765;67.2501454902;67.6419909804;67.2616568628;67.6726686275;67.7462298039
67.266694902;67.2288576471;67.6352458824;67.2623035294;67.6723431373;67.7140352941
67.2661466667;67.2327447059;67.7353329412;67.2624035294;67.6724713726;67.7040031373
67.2659580392;67.2239862745;67.7634223529;67.26306;67.6725;67.7117431373
67.2657858823;67.2291396078;67.6840596078;67.2620458824;67.6721078431;67.7001976471
67.2674878431;67.2190509804;67.65072;67.2615529412;67.6718701961;67.6637635294
67.2665407843;67.2155960784;67.6424137255;67.262027451;67.6729454902;67.7019121569
67.2668819608;67.2198211765;67.6103611765;67.2616172549;67.6723180392;67.6359654902
67.2657431372;67.2110580392;67.6619764706;67.2616486275;67.6724223529;67.6102101961
67.2664192157;67.1973968627;67.652327451;67.2615627451;67.6720631373;67.6037776471
67.2660737255;67.2055145098;67.6613937255;67.2615619608;67.6718741176;67.5847062745
67.2664223529;67.1948164706;67.6132431372;67.2613572549;67.6721917647;67.5824156863
67.2662411765;67.1890941176;67.5991913725;67.2614901961;67.6717572549;67.5754478431
67.2660509804;67.189507451;67.5622882353;67.2618976471;67.6720243137;67.5735933333
67.265952549;67.1833584314;67.5466090196;67.2627388235;67.6716529412;67.5693360784
67.2658215686;67.1862533333;67.5964972549;67.2613752941;67.6716368627;67.5624564706
67.2658215686;67.1869741176;67.6889333333;67.2613211765;67.671954902;67.5638027451
67.2660415686;67.180925098;67.7276396078;67.2617603922;67.6720345098;67.5614901961
