OW_k8
96.3529411765
101.470588235
100.176470588
99.7647058824
109.882352941
107.588235294
104.470588235
92.1176470588
96.3529411765
101.470588235
100.176470588
99.7647058824
109.882352941
107.588235294
104.470588235
92.1176470588
83.4429145098
83.5033866667
83.584387451
83.3733043137
83.0690552941
83.3147345098
83.2796247059
83.2853003922
83.1833007843
83.2054552941
83.5053909804
83.1486023529
83.3593431373
83.2484580392
83.2726329412
83.17612
83.1720058824
83.1934505882
83.1142152941
83.2413843137
83.025645098
83.0853031373
83.1660921569
83.3513019608
82.9990831373
83.0819705882
83.1194266667
83.1031192157
82.9466333333
83.0285607843
83.088767451
83.0995615686
83.0189443137
82.9288207843
82.8950909804
83.0438823529
82.8960878431
82.8935258824
82.8419498039
82.8305960784
82.9787462745
82.9784776471
83.1195109804
82.9854847059
82.8142603922
83.0508796078
82.8689854902
83.0189568628
82.8610466667
82.7913007843
82.7270988235
82.7907533333
83.0350490196
82.9111945098
82.7490733333
82.6949517647
82.7646619608
82.9432882353
82.8017392157
82.8110470588
82.9273094118
82.7287839216
82.7564403922
82.9893611765
82.8452317647
82.661232549
82.8833662745
82.783672549
82.6242647059
82.9029180392
82.8356890196
82.9021184314
82.7124086275
82.8324823529
82.8374035294
82.9378941176
82.9536498039
82.9026215686
82.6787207843
82.5481870588
82.9600717647
82.8388313726
82.7245231373
82.8358262745
