OW_k8_randomInit
82.8318494118
83.1568505882
82.8314372549
83.0556756863
82.8923007843
82.8147615686
82.8399066667
82.8973027451
74.9160756863
77.5134447059
72.2338003922
71.0401054902
69.7282741176
69.4838
69.3177007843
69.1590047059
69.0267239216
68.8293047059
68.7889184314
68.7459505882
68.7440380392
68.7395105882
68.7359866667
68.7043694118
68.692832549
68.6872498039
68.6604784314
68.6606215686
68.6493666667
68.6343164706
68.6353341176
68.6289572549
68.6274388235
68.6246486275
68.6264035294
68.6209878431
68.6212121569
68.6112807843
68.6143772549
68.6128941177
68.6077858824
68.5964247059
68.5935427451
68.596525098
68.5858878431
68.5868819608
68.5888627451
68.5852011765
68.5793043137
68.5794976471
68.5791839216
68.5869792157
68.57638
68.5764984314
68.576552549
68.5751815686
68.5732235294
68.5731694118
68.5668376471
68.569352549
68.5637537255
68.5655419608
68.5647933333
68.5668737255
68.5640611765
68.5656247059
68.5650439216
68.5650768628
68.5496137255
68.5494219608
68.5474709804
68.5475301961
68.5439643137
68.5461207843
68.5447756863
68.5441560784
68.5482447059
68.5442462745
68.5467741176
68.5436317647
68.5440301961
68.5429454902
68.5440203922
68.5429364706
68.5429384314
68.5428815686
68.5429458824
68.5424239216
68.5426043137
68.5422262745
68.5424219608
68.5425847059
68.5387345098
68.5392509804
68.5390713726
68.5389564706
68.5400215686
68.5377333333
68.5384066667
68.5383776471
